timestamp,Actual_btc,Predicted_btc,Actual_algo,Predicted_algo,Actual_dot,Predicted_dot
2021-06-06 04:00:00,36190.0,36789.676,0.9893,1.0055075,24.1244,24.036465
2021-06-06 05:00:00,36078.49,36736.36,0.9865,1.0029383,24.008,23.988708
2021-06-06 06:00:00,36183.5,36702.047,0.9898,1.0009195,24.183400000000002,23.958042
2021-06-06 07:00:00,36429.86,36684.176,0.9976,0.9993549,24.302,23.94178
2021-06-06 08:00:00,35908.9,36662.207,0.9805,0.9975044,23.980333333333334,23.921978
2021-06-06 09:00:00,36180.0,36643.66,1.0056,0.995728,24.254666666666665,23.905888
2021-06-06 10:00:00,36439.85,36626.105,1.0177,0.9942764,24.369,23.892979
2021-06-06 11:00:00,36215.05,36619.223,1.0091,0.99344784,24.35242857142857,23.890972
2021-06-06 12:00:00,36123.81,36627.855,1.011,0.9934248,24.241,23.903812
2021-06-06 13:00:00,35849.0,36647.055,0.9922,0.99401176,23.9895,23.92597
2021-06-06 14:00:00,35909.08,36670.043,0.9954,0.9949019,24.051666666666666,23.949768
2021-06-06 15:00:00,35611.84,36694.637,0.9807999999999999,0.9959417,23.721,23.973406
2021-06-06 16:00:00,36091.0,36710.957,1.0005,0.99672246,24.111,23.98702
2021-06-06 17:00:00,36235.64,36725.023,1.01,0.9974419,24.266,23.997
2021-06-06 18:00:00,36203.27,36741.14,1.0131,0.9982775,24.309,24.008688
2021-06-06 19:00:00,36033.81,36763.117,1.0065,0.99940306,24.090500000000002,24.025948
2021-06-06 20:00:00,35844.87,36789.61,1.0016,1.000756,23.9025,24.046204
2021-06-06 21:00:00,35718.19,36815.637,0.9967,1.0021415,23.786,24.063803
2021-06-06 22:00:00,35938.49,36836.28,1.0199,1.0034053,24.142571428571426,24.074865
2021-06-06 23:00:00,35916.06,36849.26,1.02,1.0046552,24.184,24.07983
2021-06-07 00:00:00,35503.32,36856.727,1.009,1.0059507,23.874,24.082247
2021-06-07 01:00:00,35829.0,36855.188,1.0292,1.007106,24.21,24.078568
2021-06-07 02:00:00,36385.0,36846.055,1.0408,1.008454,24.647,24.073261
2021-06-07 03:00:00,36722.31,36831.758,1.0394,1.0099672,25.14,24.070126
2021-06-07 04:00:00,36685.38,36825.47,1.0506,1.0119067,25.169,24.083008
2021-06-07 05:00:00,36450.32,36834.14,1.0437,1.0146226,24.88,24.117893
2021-06-07 06:00:00,36278.07,36857.082,1.0387,1.0178639,24.814333333333334,24.16955
2021-06-07 07:00:00,36338.55,36890.34,1.0523,1.0213406,24.804,24.231407
2021-06-07 08:00:00,35952.31641247,36931.406,1.0496,1.0249949,24.479,24.299055
2021-06-07 09:00:00,36199.22,36969.06,1.0615,1.028372,24.72,24.359034
2021-06-07 10:00:00,36148.41,37003.02,1.0519,1.0317246,24.5095,24.413305
2021-06-07 11:00:00,36355.78,37034.984,1.074,1.0350208,24.669,24.462046
2021-06-07 12:00:00,36513.1,37066.03,1.0783,1.0383437,24.986,24.506056
2021-06-07 13:00:00,36416.0,37099.57,1.0718,1.0419323,24.88585714285714,24.551014
2021-06-07 14:00:00,36722.31,37132.28,1.0885,1.0457817,25.1332,24.595161
2021-06-07 15:00:00,36240.23,37167.06,1.0673,1.0498433,24.9,24.641397
2021-06-07 16:00:00,36012.01865159,37193.125,1.0526,1.0537909,24.642,24.680593
2021-06-07 17:00:00,36074.67,37208.152,1.0566,1.0573308,24.692249999999998,24.709698
2021-06-07 18:00:00,35752.06,37214.285,1.0371,1.0603535,24.309,24.73073
2021-06-07 19:00:00,35686.65,37206.477,1.0297,1.0624962,23.936,24.737461
2021-06-07 20:00:00,35400.0,37184.434,1.0162,1.0635903,23.693333333333335,24.7257
2021-06-07 21:00:00,35634.9,37133.03,1.028,1.0636883,23.877333333333333,24.683407
2021-06-07 22:00:00,34472.98,37067.723,0.9905,1.0630376,23.082,24.624409
2021-06-07 23:00:00,34128.03,36968.223,0.9828,1.0607308,22.509,24.529854
2021-06-08 00:00:00,34082.0,36841.535,0.9784,1.0570718,22.299,24.405312
2021-06-08 01:00:00,33816.09,36695.6,0.9616,1.0523719,21.79,24.257607
2021-06-08 02:00:00,33616.01,36511.945,0.9529,1.0462275,21.857,24.070217
2021-06-08 03:00:00,33757.76378586,36308.58,0.9612999999999999,1.0392638,21.98,23.862623
2021-06-08 04:00:00,32810.41,36101.61,0.9231,1.0320116,20.99,23.651133
2021-06-08 05:00:00,32816.02,35880.066,0.9289,1.0240453,21.073,23.423607
2021-06-08 06:00:00,32855.02,35652.883,0.9289999999999999,1.0157826,21.065,23.190084
